question_id,question,difficulty,question_type,intent,comparison_method,model,model_name,generated_aql,gold_aql,generation_time,generation_error,validation_valid,validation_errors,validation_warnings,privacy_allowed,sensitive_fields,executed,execution_error,gold_executed,gold_execution_error,gold_result_count,generated_result_count,functional_correct,error_category
Q011,find the total checkins in Moroccan restaurants in Los Angeles per day,advanced,graph_group_aggregation,,,Mistral,mistral:latest,"LET values = (
    FOR b IN Businesses
        FILTER b.city == ""Los Angeles""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Moroccan"" IN categories
        FILTER ""Restaurants"" IN categories

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            RETURN ch.day, SUM(ch.count)
)

RETURN MAP(x => x[1], values), MAP(x => x[2], values)","
FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Moroccan"" IN categories
    FILTER ""Restaurants"" IN categories

    FOR ch IN 1..1 OUTBOUND b BusinessCheckin
        COLLECT day = ch.day
        AGGREGATE total_checkins = SUM(ch.count)

        SORT day

        RETURN {
            day: day,
            total_checkins: total_checkins
        }
",5.374572515487671,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,"[HTTP 400][ERR 1501] syntax error, unexpected "","", expecting ) near ', SUM(ch.count)
)

RETURN MAP(x ...' at position 14:26",True,,0.0,,False,execution_error
Q012,find the total checkins in Italian delis in each state on Sundays,advanced,graph_group_aggregation,,,Mistral,mistral:latest,"LET states = (
    FOR b IN Businesses
        FILTER b.city == ""Los Angeles""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Italian"" IN categories
        FILTER ""Deli"" IN categories

        RETURN DISTINCT b.state
),

values = (
    FOR b IN Businesses
        FILTER b.state IN states
        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            FILTER ch.day == ""Sunday""
            RETURN ch.count
);

RETURN COLLECT VALUES values INTO totals BY state
LET totals_per_state = MAP(totals, sum => SUM(filter s IN totals WHERE s.state == _id))
RETURN totals_per_state;","
FOR b IN Businesses

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Italian"" IN categories
    FILTER ""Delis"" IN categories

    FOR ch IN 1..1 OUTBOUND b BusinessCheckin
        FILTER ch.day == ""Sunday""

        COLLECT state = b.state
        AGGREGATE total_checkins = SUM(ch.count)

        SORT state

        RETURN {
            state: state,
            total_checkins: total_checkins
        }
",7.282371759414673,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,"[HTTP 400][ERR 1501] syntax error, unexpected invalid token near ';

RETURN COLLECT VALUES values ...' at position 22:2",True,,6.0,,False,execution_error
Q013,list all the reviews by Niloofar,medium,graph_traversal,,,Mistral,mistral:latest,"FOR u IN Users
    FILTER u.name == ""Niloofar""

    FOR r IN 1..INFINITY OUTBOUND u WritesReview

        RETURN {
            business_id: r.business_id,
            user_id: r.user_id,
            rating: r.rating,
            text: r.text,
            year: r.year,
            month: r.month
        }","
FOR u IN Users
    FILTER u.name == ""Niloofar""

    FOR r IN 1..1 OUTBOUND u WritesReview

        RETURN DISTINCT {
            review_id: r.rid,
            user_id: r.user_id,
            business_id: r.business_id,
            rating: r.rating,
            text: r.text,
            year: r.year
        }
",4.264076471328735,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,False,text,False,Blocked by PrivacyFilter,True,,1.0,,False,privacy_blocked
Q014,list all the businesses which have a review by Niloofar,advanced,graph_traversal,,,Mistral,mistral:latest,"FOR r IN Reviews
    FILTER EXISTS(FOR u IN 1..1 INBOUND r WritesReview FILTER u.name == ""Niloofar"")

    FOR b IN 1..1 OUTBOUND r ReviewsBusiness

        RETURN {
            business_id: b.business_id,
            name: b.name,
            city: b.city,
            state: b.state
        }","
FOR u IN Users
    FILTER u.name == ""Niloofar""

    FOR r IN 1..1 OUTBOUND u WritesReview
        FOR b IN 1..1 OUTBOUND r ReviewsBusiness

            RETURN DISTINCT {
                business_id: b.business_id,
                name: b.name,
                city: b.city,
                state: b.state,
                rating: b.rating
            }
",4.305587530136108,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,"[HTTP 400][ERR 1501] syntax error, unexpected ) near ')

    FOR b IN 1..1 OUTBOUND r ...' at position 2:83",True,,1.0,,False,execution_error
Q015,How many reviews has Niloofar written in 2015,medium,graph_count,,,Mistral,mistral:latest,"LET reviewsByYear = (
    FOR u IN Users
        FILTER u.name == ""Niloofar""

        FOR r IN 1..1 OUTBOUND u WritesReview
            FILTER r.year == 2015
            RETURN r
)

RETURN COUNT(reviewsByYear)","
LET reviews_2015 = (
    FOR u IN Users
        FILTER u.name == ""Niloofar""

        FOR r IN 1..1 OUTBOUND u WritesReview
            FILTER r.year == 2015
            RETURN DISTINCT r._id
)

RETURN LENGTH(reviews_2015)
",3.62481427192688,,True,,,True,,True,,True,,1.0,1.0,True,correct
Q016,list all the businesses which Niloofar rated 5,advanced,graph_traversal_filter,,,Mistral,mistral:latest,"FOR u IN Users
    FILTER u.name == ""Niloofar""

    FOR r IN 1..INFINITY OUTBOUND u WritesReview
        FOR b IN 1..1 OUTBOUND r ReviewsBusiness

            FILTER b.rating == 5

            RETURN DISTINCT {
                business_id: b.business_id,
                name: b.name,
                city: b.city,
                state: b.state,
                rating: b.rating
            }","
FOR u IN Users
    FILTER u.name == ""Niloofar""

    FOR r IN 1..1 OUTBOUND u WritesReview
        FILTER r.rating == 5

        FOR b IN 1..1 OUTBOUND r ReviewsBusiness

            RETURN DISTINCT {
                business_id: b.business_id,
                name: b.name,
                city: b.city,
                state: b.state
            }
",4.971006155014038,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,[HTTP 404][ERR 1203] collection or view not found: INFINITY,True,,0.0,,False,execution_error
Q017,what is the average rating given in Michelle reviews,medium,graph_aggregation,,,Mistral,mistral:latest,"LET reviews = (
    FOR r IN Reviews
        FOR u IN 1..1 INBOUND r WritesReview
            FILTER u.name == ""Michelle""
        RETURN r.rating
)

RETURN AVERAGE(reviews)","
LET ratings = (
    FOR u IN Users
        FILTER u.name == ""Michelle""

        FOR r IN 1..1 OUTBOUND u WritesReview
            RETURN r.rating
)

RETURN AVERAGE(ratings)
",2.862283945083618,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,"HTTPConnectionPool(host='localhost', port=8529): Read timed out. (read timeout=60)",True,,1.0,,False,execution_error
Q018,which business has the most number of checkins,medium,graph_sort_limit,,,Mistral,mistral:latest,"FOR b IN Businesses
    SORT b._id ASC
    FOR ch IN 1..1 OUTBOUND b BusinessCheckin
        COLLECT checkins = SUM(ch.count)
        SORT checkins DESC
        LIMIT 1
        RETURN b._id, checkins

In this query, we first sort all businesses by their id in ascending order. Then, for each business, we traverse the BusinessCheckin edge to count the check-ins. We collect the check-ins for each business, sort them in descending order, and return the business id along with the count of the most number of check-ins.","
FOR b IN Businesses

    LET total_checkins = SUM(
        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            RETURN ch.count
    )

    SORT total_checkins DESC
    LIMIT 1

    RETURN {
        business_id: b.business_id,
        name: b.name,
        city: b.city,
        state: b.state,
        total_checkins: total_checkins
    }
",5.553087472915649,,True,,,True,,False,"[HTTP 400][ERR 1501] syntax error, unexpected "","", expecting end of query string near ', checkins

In this query, we fi...' at position 7:21",True,,1.0,,False,execution_error
Q019,List all the reviews by Michelle for Italian restaurants,complex,multi_hop_graph,,,Mistral,mistral:latest,"FOR u IN Users
    FILTER u.name == ""Michelle""

    FOR r IN 1..1 OUTBOUND u WritesReview
        FOR b IN 1..1 OUTBOUND r ReviewsBusiness
            LET categories = (
                FOR c IN 1..1 OUTBOUND b BusinessCategory
                    RETURN c.category_name
            )
            FILTER ""Italian"" IN categories
            FILTER ""Restaurants"" IN categories
            RETURN {
                business_id: b.business_id,
                rating: r.rating,
                text: r.text,
                year: r.year,
                month: r.month
            }

To follow the schema rules:
- We are retrieving only the reviews by Michelle for Italian restaurants, so we don't need to filter the business city or any other neighborhood information.
- We are using the WritesReview and ReviewsBusiness edge collections to traverse from Users to Reviews and then to Businesses.
- We are accessing the category_name through BusinessCategory as it belongs to the Categories collection.
- We are returning only the required attributes for the reviews.","
FOR u IN Users
    FILTER u.name == ""Michelle""

    FOR r IN 1..1 OUTBOUND u WritesReview

        FOR b IN 1..1 OUTBOUND r ReviewsBusiness

            LET categories = (
                FOR c IN 1..1 OUTBOUND b BusinessCategory
                    RETURN c.category_name
            )

            FILTER ""Italian"" IN categories
            FILTER ""Restaurants"" IN categories

            RETURN DISTINCT {
                review_id: r.rid,
                user_id: r.user_id,
                business_id: b.business_id,
                business_name: b.name,
                rating: r.rating,
                text: r.text,
                year: r.year
            }
",9.874398946762083,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,False,text,False,Blocked by PrivacyFilter,True,,350.0,,False,privacy_blocked
Q020,What is the number of checkins for “Cafe Zinho” on fridays,medium,graph_aggregation,,,Mistral,mistral:latest,"LET values = (
    FOR b IN Businesses
        FILTER b.name == ""Cafe Zinho""

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            FILTER ch.day == ""Friday""
            RETURN ch.count
)

RETURN SUM(values)","
LET values = (
    FOR b IN Businesses
        FILTER b.name == ""Cafe Zinho""

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            FILTER ch.day == ""Friday""
            RETURN ch.count
)

RETURN SUM(values)
",3.776889562606812,,True,,,True,,True,,True,,1.0,1.0,True,correct
Q021,find the number of reviews written for “Cafe Zinho” restaurants in Texas,advanced,multi_hop_graph_count,,,Mistral,mistral:latest,"LET reviews = (
    FOR b IN Businesses
        FILTER b.name == ""Cafe Zinho""

        FOR r IN 1..1 INBOUND b ReviewsBusiness
            FILTER b.state == ""Texas""
            RETURN DISTINCT r._id
)

RETURN LENGTH(reviews)","
LET reviews = (
    FOR b IN Businesses
        FILTER b.name == ""Cafe Zinho""
        FILTER b.state == ""Texas""

        FOR r IN 1..1 INBOUND b ReviewsBusiness
            RETURN DISTINCT r._id
)

RETURN LENGTH(reviews)
",3.7497613430023193,,True,,,True,,True,,True,,1.0,1.0,True,correct
Q022,find the user with the most number of reviews,medium,graph_sort_limit,,,Mistral,mistral:latest,"FOR u IN Users
LET reviews = (
    FOR r IN 1..INFINITY OUTBOUND u WritesReview
    RETURN r
)
SORT u.name DESC
LIMIT 1
RETURN u.uid, u.name, COUNT(reviews)","
FOR u IN Users

    LET review_count = LENGTH(
        FOR r IN 1..1 OUTBOUND u WritesReview
            RETURN 1
    )

    SORT review_count DESC
    LIMIT 1

    RETURN {
        user_id: u.user_id,
        name: u.name,
        review_count: review_count
    }
",15.951170682907104,,True,,,True,,False,"[HTTP 400][ERR 1501] syntax error, unexpected "","", expecting end of query string near ', u.name, COUNT(reviews)' at position 8:13",True,,1.0,,False,execution_error
Q023,how many users reviewed Sushi Too in Pittsburgh,advanced,multi_hop_graph_count,,,Mistral,mistral:latest,"LET users = (
    FOR b IN Businesses
        FILTER b.name == ""Sushi Too""
        FILTER b.city == ""Pittsburgh""

        FOR r IN 1..1 INBOUND b ReviewsBusiness
            FOR u IN 1..1 INBOUND r WritesReview
                RETURN DISTINCT u._id
)

RETURN LENGTH(users)","
LET users = (
    FOR b IN Businesses
        FILTER b.name == ""Sushi Too""
        FILTER b.city == ""Pittsburgh""

        FOR r IN 1..1 INBOUND b ReviewsBusiness
            FOR u IN 1..1 INBOUND r WritesReview
                RETURN DISTINCT u._id
)

RETURN LENGTH(users)
",4.417280435562134,,True,,,True,,True,,True,,1.0,1.0,True,correct
Q024,What is the number of pet groomers in Edinburgh,medium,graph_count,,,Mistral,mistral:latest,"LET businesses = (
    FOR b IN Businesses
        FILTER b.city == ""Edinburgh""

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Pet Groomers""
            RETURN DISTINCT b._id
)

RETURN LENGTH(businesses)","
LET businesses = (
    FOR b IN Businesses
        FILTER b.city == ""Edinburgh""

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Pet Groomers""
            RETURN DISTINCT b._id
)

RETURN LENGTH(businesses)
",4.155424356460571,,True,,,True,,True,,True,,1.0,1.0,True,correct
Q025,How many pet groomers exist in Edinburgh,medium,graph_count,,,Mistral,mistral:latest,"LET businesses = (
    FOR b IN Businesses
        FILTER b.city == ""Edinburgh""

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Pet Groomers""
            RETURN DISTINCT b._id
)

RETURN LENGTH(businesses)","
LET businesses = (
    FOR b IN Businesses
        FILTER b.city == ""Edinburgh""

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Pet Groomers""
            RETURN DISTINCT b._id
)

RETURN LENGTH(businesses)
",4.202751874923706,,True,,,True,,True,,True,,1.0,1.0,True,correct
Q026,What is the number of restaurants in Pittsburgh rated 4.5,medium,graph_count,,,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.city == ""Pittsburgh""
    FILTER b.rating == 4.5
    FILTER b.is_open == true
    FILTER b.category_name == ""Restaurants""
    COUNT b
    RETURN { count: res }

In this query, we filter the businesses in Pittsburgh, ensure they are restaurants, have a rating of 4.5, and are open. We then count the number of businesses that meet these conditions. The result is returned as a single object with a 'count' property.","
LET restaurants = (
    FOR b IN Businesses
        FILTER b.city == ""Pittsburgh""
        FILTER b.rating == 4.5

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Restaurants""
            RETURN DISTINCT b._id
)

RETURN LENGTH(restaurants)
",5.859926223754883,,False,Unknown attribute 'category_name' in collection 'Businesses'.,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,Rejected by validator,True,,1.0,,False,unknown_attribute
Q027,List all 5 star Italian restaurants,medium,graph_filter,,,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.rating == 5

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Italian"" IN categories

    RETURN {
        business_id: b.business_id,
        name: b.name,
        rating: b.rating
    }","
FOR b IN Businesses
    FILTER b.rating == 5

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Italian"" IN categories
    FILTER ""Restaurants"" IN categories

    RETURN {
        business_id: b.business_id,
        name: b.name,
        city: b.city,
        state: b.state,
        rating: b.rating
    }
",5.029407978057861,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,True,,True,,36.0,36.0,False,semantic_result_mismatch
Q028,How many tips have been written in 2015,simple,document_count,,,Mistral,mistral:latest,"LET tips = (
    FOR t IN Tips
        FILTER t.year == 2015
        RETURN DISTINCT t._id
)

RETURN LENGTH(tips)","
RETURN LENGTH(
    FOR t IN Tips
        FILTER t.year == 2015
        RETURN 1
)
",2.890895366668701,,True,,,True,,True,,True,,1.0,1.0,True,correct
Q029,What is the total likes on tips from Niloofar,medium,graph_aggregation,,,Mistral,mistral:latest,"LET likes = (
    FOR u IN Users
        FILTER u.name == ""Niloofar""

        FOR t IN 1..1 OUTBOUND u WritesTip
            RETURN t.likes
)

RETURN SUM(likes)","
LET likes = (
    FOR u IN Users
        FILTER u.name == ""Niloofar""

        FOR t IN 1..1 OUTBOUND u WritesTip
            RETURN t.likes
)

RETURN SUM(likes)
",3.5305778980255127,,True,,,True,,True,,True,,1.0,1.0,True,correct
Q030,What is the total likes on tips about “Cafe Zinho”,medium,graph_aggregation,,,Mistral,mistral:latest,"LET likes = (
    FOR b IN Businesses
        FILTER b.name == ""Cafe Zinho""

        FOR t IN 1..INFINITY OUTBOUND b TipsBusiness
            RETURN t.likes
)

RETURN SUM(likes)","
LET likes = (
    FOR b IN Businesses
        FILTER b.name == ""Cafe Zinho""

        FOR t IN 1..1 INBOUND b TipsBusiness
            RETURN t.likes
)

RETURN SUM(likes)
",3.6461641788482666,,True,,,True,,False,[HTTP 404][ERR 1203] collection or view not found: INFINITY,True,,1.0,,False,execution_error
Q031,What is the total likes on tips from Niloofar about “Cafe Zinho”,complex,multi_hop_graph_aggregation,,,Mistral,mistral:latest,"LET tips = (
    FOR u IN Users
        FILTER u.name == ""Niloofar""

        FOR t IN 1..1 OUTBOUND u WritesTip
            FOR b IN 1..1 INBOUND t TipsBusiness
                FILTER b.name == ""Cafe Zinho""
                RETURN t.likes
)

RETURN SUM(tips)","
LET likes = (
    FOR u IN Users
        FILTER u.name == ""Niloofar""

        FOR t IN 1..1 OUTBOUND u WritesTip
            FOR b IN 1..1 OUTBOUND t TipsBusiness
                FILTER b.name == ""Cafe Zinho""
                RETURN t.likes
)

RETURN SUM(likes)
",4.561962366104126,,False,Unknown attribute 'name' in collection 'Tips'.,,True,,False,Rejected by validator,True,,1.0,,False,unknown_attribute
Q032,How many tips has Michelle written in 2014,medium,graph_count,,,Mistral,mistral:latest,"LET tips = (
    FOR u IN Users
        FILTER u.name == ""Michelle""

        FOR t IN 1..1 OUTBOUND u WritesTip
            FILTER t.year == 2014
            RETURN DISTINCT t._id
)

RETURN LENGTH(tips)","
LET tips = (
    FOR u IN Users
        FILTER u.name == ""Michelle""

        FOR t IN 1..1 OUTBOUND u WritesTip
            FILTER t.year == 2014
            RETURN DISTINCT t._id
)

RETURN LENGTH(tips)
",3.873820543289185,,True,,,True,,True,,True,,1.0,1.0,True,correct
Q033,How many tips has Michelle written in April,medium,graph_count,,,Mistral,mistral:latest,"LET tips = (
    FOR u IN Users
        FILTER u.name == ""Michelle""

        FOR t IN 1..1 OUTBOUND u WritesTip
            FILTER t.month == ""April""
            RETURN DISTINCT t._id
)

RETURN LENGTH(tips)","
LET tips = (
    FOR u IN Users
        FILTER u.name == ""Michelle""

        FOR t IN 1..1 OUTBOUND u WritesTip
            FILTER t.month == 4
                OR LOWER(TO_STRING(t.month)) == ""april""

            RETURN DISTINCT t._id
)

RETURN LENGTH(tips)
",3.5300588607788086,,True,,,True,,True,,True,,1.0,1.0,True,correct
Q034,what is the number of restaurants in Texas,medium,graph_count,,,Mistral,mistral:latest,"RETURN LENGTH(
    FOR b IN Businesses
        FILTER b.state == ""Texas""
        FILTER ""Restaurants"" IN (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )
        RETURN b._id
)","
LET restaurants = (
    FOR b IN Businesses
        FILTER b.state == ""Texas""

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Restaurants""
            RETURN DISTINCT b._id
)

RETURN LENGTH(restaurants)
",3.815622806549072,,True,,,True,,True,,True,,1.0,1.0,True,correct
