question_id,question,difficulty,question_type,intent,comparison_method,model,model_name,generated_aql,gold_aql,generation_time,generation_error,validation_valid,validation_errors,validation_warnings,privacy_allowed,sensitive_fields,executed,execution_error,gold_executed,gold_execution_error,gold_result_count,generated_result_count,functional_correct,error_category,approach,agent_corrected,agent_correction_attempts,original_aql,final_aql
Q011,find the total checkins in Moroccan restaurants in Los Angeles per day,advanced,graph_group_aggregation,,,Mistral,mistral:latest,"LET values = (
    FOR b IN Businesses
        FILTER b.city == ""Los Angeles""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Moroccan"" IN categories
        FILTER ""Restaurants"" IN categories

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            RETURN ch.day, SUM(ch.count)
)

GROUP BY day
RETURN MAP([{""day"": _KEY, ""total_checkins"": SUM(values.total_checkins)})","
FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Moroccan"" IN categories
    FILTER ""Restaurants"" IN categories

    FOR ch IN 1..1 OUTBOUND b BusinessCheckin
        COLLECT day = ch.day
        AGGREGATE total_checkins = SUM(ch.count)

        SORT day

        RETURN {
            day: day,
            total_checkins: total_checkins
        }
",8.323633909225464,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,"[HTTP 400][ERR 1501] syntax error, unexpected "","", expecting ) near ', SUM(ch.count)
)

GROUP BY day
...' at position 14:26",True,,0.0,,False,execution_error,RAG + Agent,False,0,"LET values = (
    FOR b IN Businesses
        FILTER b.city == ""Los Angeles""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Moroccan"" IN categories
        FILTER ""Restaurants"" IN categories

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            RETURN ch.day, SUM(ch.count)
)

GROUP BY day
RETURN MAP([{""day"": _KEY, ""total_checkins"": SUM(values.total_checkins)})","LET values = (
    FOR b IN Businesses
        FILTER b.city == ""Los Angeles""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Moroccan"" IN categories
        FILTER ""Restaurants"" IN categories

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            RETURN ch.day, SUM(ch.count)
)

GROUP BY day
RETURN MAP([{""day"": _KEY, ""total_checkins"": SUM(values.total_checkins)})"
Q012,find the total checkins in Italian delis in each state on Sundays,advanced,graph_group_aggregation,,,Mistral,mistral:latest,"LET sunday_checkins_by_state = (
    FOR b IN Businesses
        FILTER b.state
        LET italian_delis_categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                FILTER c.category_name CONTAINS ""Italian delis""
                RETURN c.category_name
        )
        FILTER ""Italian delis"" IN italian_delis_categories
        LET sunday_checkins = (
            FOR ch IN Checkins
                FILTER ch.day == ""Sunday""
                FILTER ch.business_id == b.business_id
                RETURN ch.count
        )
        RETURN {state: b.state, total_checkins: SUM(sunday_checkins)}
)
RETURN MERGE([], sunday_checkins_by_state)","
FOR b IN Businesses

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Italian"" IN categories
    FILTER ""Delis"" IN categories

    FOR ch IN 1..1 OUTBOUND b BusinessCheckin
        FILTER ch.day == ""Sunday""

        COLLECT state = b.state
        AGGREGATE total_checkins = SUM(ch.count)

        SORT state

        RETURN {
            state: state,
            total_checkins: total_checkins
        }
",44.38980388641357,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,"[HTTP 400][ERR 1501] syntax error, unexpected identifier near 'CONTAINS ""Italian delis""
       ...' at position 6:40",True,,6.0,,False,execution_error,RAG + Agent,True,2,"LET states_checkins = (
    FOR b IN Businesses
        FILTER b.categories CONTAINS ""Italian delis""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Italian delis"" IN categories

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            FILTER ch.day == ""Sunday""
            RETURN {bid: b._id, state: b.state, count: ch.count}
),
    total_sunday_checkins_by_state = (
        FOR doc IN states_checkins
            RETURN MERGE({state: doc.state}, {total_checkins: SUM(doc.count)})
    )

    RETURN total_sunday_checkins_by_state","LET sunday_checkins_by_state = (
    FOR b IN Businesses
        FILTER b.state
        LET italian_delis_categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                FILTER c.category_name CONTAINS ""Italian delis""
                RETURN c.category_name
        )
        FILTER ""Italian delis"" IN italian_delis_categories
        LET sunday_checkins = (
            FOR ch IN Checkins
                FILTER ch.day == ""Sunday""
                FILTER ch.business_id == b.business_id
                RETURN ch.count
        )
        RETURN {state: b.state, total_checkins: SUM(sunday_checkins)}
)
RETURN MERGE([], sunday_checkins_by_state)"
Q013,list all the reviews by Niloofar,medium,graph_traversal,,,Mistral,mistral:latest,"FOR u IN Users
    FILTER u.name == ""Niloofar""

    FOR r IN 1..1 OUTBOUND u WritesReview

        RETURN r","
FOR u IN Users
    FILTER u.name == ""Niloofar""

    FOR r IN 1..1 OUTBOUND u WritesReview

        RETURN DISTINCT {
            review_id: r.rid,
            user_id: r.user_id,
            business_id: r.business_id,
            rating: r.rating,
            text: r.text,
            year: r.year
        }
",3.250779628753662,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,True,,True,,1.0,1.0,False,semantic_result_mismatch,RAG + Agent,False,0,"FOR u IN Users
    FILTER u.name == ""Niloofar""

    FOR r IN 1..1 OUTBOUND u WritesReview

        RETURN r","FOR u IN Users
    FILTER u.name == ""Niloofar""

    FOR r IN 1..1 OUTBOUND u WritesReview

        RETURN r"
Q014,list all the businesses which have a review by Niloofar,advanced,graph_traversal,,,Mistral,mistral:latest,"FOR u IN Users
  FILTER u.name == ""Niloofar""

  FOR r IN 1..1 OUTBOUND u WritesReview

  FOR b IN 1..1 OUTBOUND r ReviewsBusiness

  RETURN DISTINCT b._id","
FOR u IN Users
    FILTER u.name == ""Niloofar""

    FOR r IN 1..1 OUTBOUND u WritesReview
        FOR b IN 1..1 OUTBOUND r ReviewsBusiness

            RETURN DISTINCT {
                business_id: b.business_id,
                name: b.name,
                city: b.city,
                state: b.state,
                rating: b.rating
            }
",4.120466947555542,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,True,,True,,1.0,1.0,False,semantic_result_mismatch,RAG + Agent,False,0,"FOR u IN Users
  FILTER u.name == ""Niloofar""

  FOR r IN 1..1 OUTBOUND u WritesReview

  FOR b IN 1..1 OUTBOUND r ReviewsBusiness

  RETURN DISTINCT b._id","FOR u IN Users
  FILTER u.name == ""Niloofar""

  FOR r IN 1..1 OUTBOUND u WritesReview

  FOR b IN 1..1 OUTBOUND r ReviewsBusiness

  RETURN DISTINCT b._id"
Q015,How many reviews has Niloofar written in 2015,medium,graph_count,,,Mistral,mistral:latest,"FOR r IN Reviews
    FILTER r.user_id IN (
        FOR u IN Users
            FILTER u.name == ""Niloofar""
        )
        AND r.year == 2015

    RETURN COUNT(r)","
LET reviews_2015 = (
    FOR u IN Users
        FILTER u.name == ""Niloofar""

        FOR r IN 1..1 OUTBOUND u WritesReview
            FILTER r.year == 2015
            RETURN DISTINCT r._id
)

RETURN LENGTH(reviews_2015)
",6.674460411071777,,True,,,True,,False,"[HTTP 400][ERR 1501] syntax error, unexpected ) near ')
        AND r.year == 2015

  ...' at position 5:9",True,,1.0,,False,execution_error,RAG + Agent,True,1,"FOR u IN Users
    FILTER u.name == ""Niloofar"" AND u.year == 2015

    FOR r IN 1..1 OUTBOUND u WritesReview

    RETURN COUNT(r)","FOR r IN Reviews
    FILTER r.user_id IN (
        FOR u IN Users
            FILTER u.name == ""Niloofar""
        )
        AND r.year == 2015

    RETURN COUNT(r)"
Q016,list all the businesses which Niloofar rated 5,advanced,graph_traversal_filter,,,Mistral,mistral:latest,"FOR r IN 1..1 OUTBOUND Users[name=='Niloofar'] WritesReview
  FOR b IN 1..1 OUTBOUND r ReviewsBusiness
  FILTER b.rating == 5
  RETURN {
    business_id: b.business_id,
    name: b.name,
    city: b.city,
    state: b.state,
    rating: b.rating
  }","
FOR u IN Users
    FILTER u.name == ""Niloofar""

    FOR r IN 1..1 OUTBOUND u WritesReview
        FILTER r.rating == 5

        FOR b IN 1..1 OUTBOUND r ReviewsBusiness

            RETURN DISTINCT {
                business_id: b.business_id,
                name: b.name,
                city: b.city,
                state: b.state
            }
",4.122830390930176,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,[HTTP 404][ERR 1203] collection or view not found: name,True,,0.0,,False,execution_error,RAG + Agent,False,0,"FOR r IN 1..1 OUTBOUND Users[name=='Niloofar'] WritesReview
  FOR b IN 1..1 OUTBOUND r ReviewsBusiness
  FILTER b.rating == 5
  RETURN {
    business_id: b.business_id,
    name: b.name,
    city: b.city,
    state: b.state,
    rating: b.rating
  }","FOR r IN 1..1 OUTBOUND Users[name=='Niloofar'] WritesReview
  FOR b IN 1..1 OUTBOUND r ReviewsBusiness
  FILTER b.rating == 5
  RETURN {
    business_id: b.business_id,
    name: b.name,
    city: b.city,
    state: b.state,
    rating: b.rating
  }"
Q017,what is the average rating given in Michelle reviews,medium,graph_aggregation,,,Mistral,mistral:latest,"LET reviews = (
    FOR u IN Users
        FILTER u.name == ""Michelle""

        FOR r IN 1..1 OUTBOUND u WritesReview
            RETURN r.rating
)

RETURN AVERAGE(ratings)","
LET ratings = (
    FOR u IN Users
        FILTER u.name == ""Michelle""

        FOR r IN 1..1 OUTBOUND u WritesReview
            RETURN r.rating
)

RETURN AVERAGE(ratings)
",3.014523267745972,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,[HTTP 404][ERR 1203] collection or view not found: ratings,True,,1.0,,False,execution_error,RAG + Agent,False,0,"LET reviews = (
    FOR u IN Users
        FILTER u.name == ""Michelle""

        FOR r IN 1..1 OUTBOUND u WritesReview
            RETURN r.rating
)

RETURN AVERAGE(ratings)","LET reviews = (
    FOR u IN Users
        FILTER u.name == ""Michelle""

        FOR r IN 1..1 OUTBOUND u WritesReview
            RETURN r.rating
)

RETURN AVERAGE(ratings)"
Q018,which business has the most number of checkins,medium,graph_sort_limit,,,Mistral,mistral:latest,"FOR b IN Checkins
FILTER b.business_id IN (
  FOR c IN Checkins
    GROUP BY c.business_id
    SORT _count DESC
    LIMIT 1
    RETURN _key
)
RETURN { business_id: b.business_id, count: b.count }","
FOR b IN Businesses

    LET total_checkins = SUM(
        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            RETURN ch.count
    )

    SORT total_checkins DESC
    LIMIT 1

    RETURN {
        business_id: b.business_id,
        name: b.name,
        city: b.city,
        state: b.state,
        total_checkins: total_checkins
    }
",6.8338682651519775,,True,,,True,,False,"[HTTP 400][ERR 1501] syntax error, unexpected '.' near '.business_id
    SORT _count DES...' at position 4:15",False,"HTTPConnectionPool(host='localhost', port=8529): Read timed out. (read timeout=60)",,,False,execution_error,RAG + Agent,True,1,"FOR b IN BusinessCheckin
GROUP BY b.business_id
SORT b._count DESC
LIMIT 1
RETURN { business_id: _key, count: b._count }","FOR b IN Checkins
FILTER b.business_id IN (
  FOR c IN Checkins
    GROUP BY c.business_id
    SORT _count DESC
    LIMIT 1
    RETURN _key
)
RETURN { business_id: b.business_id, count: b.count }"
Q019,List all the reviews by Michelle for Italian restaurants,complex,multi_hop_graph,,,Mistral,mistral:latest,"FOR r IN Reviews
FILTER r.user_id == ""Michelle""
FILTER EXISTS(
  FOR b IN 1..1 OUTBOUND r ReviewsBusiness
    FILTER b.to._key IN (
      FOR c IN Businesses
        FILTER c.city == ""Italian""
        RETURN c._key
    )
)
RETURN r","
FOR u IN Users
    FILTER u.name == ""Michelle""

    FOR r IN 1..1 OUTBOUND u WritesReview

        FOR b IN 1..1 OUTBOUND r ReviewsBusiness

            LET categories = (
                FOR c IN 1..1 OUTBOUND b BusinessCategory
                    RETURN c.category_name
            )

            FILTER ""Italian"" IN categories
            FILTER ""Restaurants"" IN categories

            RETURN DISTINCT {
                review_id: r.rid,
                user_id: r.user_id,
                business_id: b.business_id,
                business_name: b.name,
                rating: r.rating,
                text: r.text,
                year: r.year
            }
",56.90205955505371,,False,Unknown attribute 'to' in collection 'Businesses'.,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,Rejected by validator,True,,350.0,,False,unknown_attribute,RAG + Agent,True,2,"FOR r IN Reviews
FILTER r.user_id == ""Michelle""
FOR c IN 1..1 OUTBOUND r ReviewsBusiness
FILTER c.to._key IN (FOR b IN Businesses FILTER b.city == ""Italian"" RETURN b._key)
RETURN r","FOR r IN Reviews
FILTER r.user_id == ""Michelle""
FILTER EXISTS(
  FOR b IN 1..1 OUTBOUND r ReviewsBusiness
    FILTER b.to._key IN (
      FOR c IN Businesses
        FILTER c.city == ""Italian""
        RETURN c._key
    )
)
RETURN r"
Q020,What is the number of checkins for “Cafe Zinho” on fridays,medium,graph_aggregation,,,Mistral,mistral:latest,"LET friday_checkins = (
    FOR ch IN Checkins
        FILTER ch.day == ""Friday"" AND ch.business_id IN (
            FOR b IN Businesses
                FILTER b.name == ""Cafe Zinho""
                RETURN b._id
        )
    RETURN ch._id
)

RETURN COUNT(friday_checkins)","
LET values = (
    FOR b IN Businesses
        FILTER b.name == ""Cafe Zinho""

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            FILTER ch.day == ""Friday""
            RETURN ch.count
)

RETURN SUM(values)
",4.525395154953003,,True,,,True,,False,"HTTPConnectionPool(host='localhost', port=8529): Read timed out. (read timeout=60)",True,,1.0,,False,execution_error,RAG + Agent,False,0,"LET friday_checkins = (
    FOR ch IN Checkins
        FILTER ch.day == ""Friday"" AND ch.business_id IN (
            FOR b IN Businesses
                FILTER b.name == ""Cafe Zinho""
                RETURN b._id
        )
    RETURN ch._id
)

RETURN COUNT(friday_checkins)","LET friday_checkins = (
    FOR ch IN Checkins
        FILTER ch.day == ""Friday"" AND ch.business_id IN (
            FOR b IN Businesses
                FILTER b.name == ""Cafe Zinho""
                RETURN b._id
        )
    RETURN ch._id
)

RETURN COUNT(friday_checkins)"
